ELF sha256=cc9ccafdd549438d8455f0770c60db9295351cc4e07a0044f8d5e9eee1e26640
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2123697 samples=0
PC 4008b489
PC 40084cc2
PC 40085a4f
PC 400835ca
PC 40083e73
PC 40083f0d
PC 4008ba3e
PC 40085a1c
PC 40085a20
PC 4008361d
PC 40108544
PC 40083e79
PC 40083712
PC 4010848e
PC 400835c1
PC 40085a32
PC 40081a8b
PC 40082ece
PC 400835e9
PC 4008371c
PC 40108682
PC 40082f24
PC 40085a32
PC 40083ea1
PC 40085a5d
PC 40085a20
PC 400888a7
PC 40084cce
PC 4010735b
PC 4008362d
PC 40085020
PC 40083f43
PC 40085a42
PC 40085a5d
PC 40084cb3
PC 40082f9f
PC 400888cb
PC 4008b8d1
PC 40083b57
PC 40107214
PC 40083ea7
PC 4008b9cd
PC 4010733f
PC 40085a42
PC 4008b8e0
PC 400835f6
PC 4008b4b5
PC 40085a1a
PC 4008370c
PC 40081b18
PC 4010850e
PC 40085a1a
PC 4000c268
PC 4008ba2c
PC 40085a3f
PC 40083d39
PC 4008b938
PC 400835ab
PC 40083d39
PC 40083b00
PC 4008505b
PC 4010735b
PC 4000c260
PC 40109124
PC 4008b9dc
PC 4008371c
PC 4008b56a
PC 40082ed3
PC 40085a1a
PC 40088947
PC 40108679
PC 4008b968
PC 40085a42
PC 4000c276
PC 40085a2a
PC 40082f56
PC 40108588
PC 40083cb7
PC 40083717
PC 40084f07
PC 40088de6
PC 40082f9f
PC 4008b519
PC 4008b9cd
PC 40085a1e
PC 4010850b
PC 40083630
PC 40085a2a
PC 40081b18
PC 40084ce8
PC 40085a3a
PC 40085a1e
PC 4008371c
PC 40083d91
PC 40083abd
PC 40083637
PC 40084be3
PC 4000c26a
PC 4008b8f5
PC 4008ba54
PC 4010734d
PC 4008b53b
PC 4008b94a
PC 40085a1a
PC 4008ba3e
PC 40085a20
PC 40083b57
PC 4008b493
PC 40085a20
PC 40085a3f
PC 40084f72
PC 40083709
PC 40082f9f
PC 40085a2f
PC 4000c280
PC 40085a2c
PC 40088dae
PC 4008509e
PC 40084be9
PC 4000c26f
PC 401084de
PC 40082f4a
PC 40085a2f
PC 400888c8
PC 40082ece
PC 40107353
PC 40085098
PC 40083e82
PC 40082e93
PC 40085a32
PC 40083634
PC 40083d56
PC 40082f56
PC 401085a5
PC 40107361
PC 4000c280
PC 4008b8ef
PC 40085a2f
PC 40085a1e
PC 4008b8e3
PC 4010721a
PC 400835da
PC 400835da
PC 4008b923
PC 40085a1e
PC 4010733f
PC 40085a3a
PC 40085a47
PC 40085a2f
PC 4008894c
PC 4008b920
PC 40082f26
PC 400d33b7
PC 40085a3a
PC 40083d7a
PC 4008bb85
PC 4000c280
PC 40085a1a
PC 40085a32
PC 40108622
PC 40085a63
PC 4000c276
PC 4008b974
PC 4008371c
