elf_sha256=d7f0b148255ce6f428739a778ab03e74b7a6f1cd276493880a89b46919596ecd
payload_bytes=25268 payload_sha256=346eba4bd9d5b9eaee0ecc2f5c592de5e34f08761545f32500df17f7ffb151db transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25268 pixels=452 heap=35704 us=9356
transfer_seconds=0.250
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2269 0 0
FRAME 49659722 3459375601 2940 0 0
FRAME 58319444 1758088845 2500 0 0
FRAME 58680555 2337628906 2538 0 0
FRAME 58986111 1343713600 2797 0 0
FRAME 66000000 2491043852 4572 0 0
FRAME 104166666 3459375601 2446 0 0
FRAME 249753832 3459375601 376 0 0
FRAME 0 3459375601 2376 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1854 eval_max_us=2176 encode_avg_us=2459 encode_max_us=2710 dma_wait_avg_us=1963 dma_wait_max_us=1995 total_avg_us=6329 total_max_us=6400 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1850 eval_max_us=2081 encode_avg_us=2460 encode_max_us=2711 dma_wait_avg_us=1965 dma_wait_max_us=2000 total_avg_us=6329 total_max_us=6402 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=3199 eval_max_us=4171 encode_avg_us=2462 encode_max_us=2748 dma_wait_avg_us=682 dma_wait_max_us=1988 total_avg_us=6388 total_max_us=6766 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=3861 eval_max_us=4132 encode_avg_us=2457 encode_max_us=2750 dma_wait_avg_us=15 dma_wait_max_us=26 total_avg_us=6375 total_max_us=6648 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=3501 eval_max_us=4174 encode_avg_us=2458 encode_max_us=2750 dma_wait_avg_us=386 dma_wait_max_us=2005 total_avg_us=6389 total_max_us=6694 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1953 eval_max_us=4385 encode_avg_us=2461 encode_max_us=2751 dma_wait_avg_us=1870 dma_wait_max_us=2130 total_avg_us=6339 total_max_us=6908 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1850 eval_max_us=2115 encode_avg_us=2460 encode_max_us=2713 dma_wait_avg_us=1964 dma_wait_max_us=1995 total_avg_us=6329 total_max_us=6399 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1852 eval_max_us=2162 encode_avg_us=2461 encode_max_us=2715 dma_wait_avg_us=1961 dma_wait_max_us=1992 total_avg_us=6328 total_max_us=6388 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2080 encode_avg_us=2459 encode_max_us=2705 dma_wait_avg_us=1969 dma_wait_max_us=2056 total_avg_us=6327 total_max_us=6410 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1851 eval_max_us=2157 encode_avg_us=2459 encode_max_us=2706 dma_wait_avg_us=1965 dma_wait_max_us=1992 total_avg_us=6329 total_max_us=6504 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1849 eval_max_us=2160 encode_avg_us=2461 encode_max_us=2716 dma_wait_avg_us=1963 dma_wait_max_us=1986 total_avg_us=6327 total_max_us=6363 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2162 encode_avg_us=2458 encode_max_us=2704 dma_wait_avg_us=1970 dma_wait_max_us=2135 total_avg_us=6329 total_max_us=6532 heap_free=81368
CAPTURED 74 playback windows
